date,USDRUB,USDEUR
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
2010-04-01,29.425272,0.737479
